Date,Dynamic_Portfolio,Nifty_50
2024-09-10,257.5208952530177,178.6289518092167
2024-09-11,257.79850224319824,177.7540337322113
2024-09-12,264.2443442975143,181.10996462264183
2024-09-13,262.5170038057581,180.87883867746223
2024-09-16,263.81294874240245,181.07322466740408
2024-09-17,263.71669995723784,181.3214736330566
2024-09-18,264.0694663197135,181.02900296929087
2024-09-19,263.2084228656407,181.30185669829183
2024-09-20,268.3894150161266,183.9779521257627
2024-09-23,273.29126376630006,185.03442437671677
2024-09-24,273.77088587123654,185.04405172183218
2024-09-25,273.57238604912084,185.4988079368338
2024-09-26,278.0420049306943,187.01038471484142
2024-09-27,276.8010026587268,186.7457232853019
2024-09-30,270.90002042897447,184.11991018564785
2024-10-01,270.8111909135433,184.0204043986521
2024-10-03,265.4948546579426,180.1198388513396
2024-10-04,262.5686523028078,178.4399158923925
2024-10-07,262.31306806938267,176.878767343154
2024-10-08,267.4123887760528,178.42957799069117
2024-10-09,267.4804866636528,178.20700658950702
2024-10-10,265.75758038591846,178.32470819809566
2024-10-11,266.8903849118739,178.0807504369229
2024-10-14,268.93344059818855,179.24848748974597
2024-10-15,267.90069883532965,178.74487006009943
2024-10-16,264.9209522252995,178.1310466972218
2024-10-17,258.1497564858359,176.55134008185638
2024-10-18,257.01194013324533,177.29465193316003
2024-10-21,257.7299110767549,176.77425979509246
2024-10-22,254.2091213837298,174.5700296706141
2024-10-23,253.76646873091372,174.30894888896842
2024-10-24,250.51814985441436,174.0514348227345
2024-10-25,247.87559527962839,172.4920696312019
2024-10-28,250.38464778997306,173.62164561561536
2024-10-29,250.31045290988715,174.53257915879044
2024-10-30,248.0443380961151,173.63376687502253
2024-10-31,245.47185933110512,172.66718699843088
2024-11-01,247.8425601326979,173.37339664996279
2024-11-04,245.46936072619943,171.16916652548443
2024-11-05,245.71970607194913,172.7239061329674
2024-11-06,249.35798516581752,174.6552825284448
2024-11-07,244.99570786528037,172.62438641348953
2024-11-08,244.07436836681458,172.2595086403683
2024-11-11,245.41909766990923,172.21029911367143
2024-11-12,243.65572234111804,170.3709328298322
2024-11-13,240.39550884936372,168.05685901665674
2024-11-14,241.63836722538505,167.86888196847042
2024-11-18,241.21588638291834,167.30606542247762
2024-11-19,242.83223387470395,167.76759282376878
2024-11-21,241.06448549661854,166.5648991734139
2024-11-22,246.19140025450483,170.54071405642566
2024-11-25,248.88674616243836,172.7852508515535
2024-11-26,248.8748723040987,172.58979206049173
2024-11-27,250.0379664480168,173.16332268520193
2024-11-28,246.60175195432677,170.58993751560462
2024-11-29,248.2669463964692,172.13752975978196
2024-12-02,250.1873483736365,173.17152891714545
2024-12-03,250.48696511146778,174.46339045279475
2024-12-04,249.08339690854734,174.53685643078813
2024-12-05,252.36872539756052,176.25566494721286
2024-12-06,253.24045766002223,176.0373847505085
2024-12-09,250.74940983333005,175.61793344509064
2024-12-10,250.92305960939512,175.55409481221267
2024-12-11,252.3609073908984,175.7805812408605
2024-12-12,250.9870243374573,175.1164476852019
2024-12-13,253.21495757013878,176.68296024004016
2024-12-16,252.77614961343696,175.96925491315068
2024-12-17,249.5291236377605,173.59917252202465
2024-12-18,249.47802734050543,172.62081969807772
2024-12-19,248.47726940919844,170.8577894835398
2024-12-20,243.7838616110096,168.25979955059404
2024-12-23,244.3101862839718,169.44358682277007
2024-12-24,244.95497969469042,169.25955266701163
2024-12-26,246.2091529259071,169.42040317259352
2024-12-27,247.42529712837583,169.87124436013144
2024-12-30,246.72270321610864,168.66926126636247
2024-12-31,246.47590535319293,168.66855070977653
2025-01-01,246.28987549007442,169.36833748707082
2025-01-02,250.80191818810673,172.54806427667032
2025-01-03,247.4318239449103,171.2362235617222
2025-01-06,244.40054062865082,168.46346457359937
2025-01-07,243.04771850524497,169.11866740824644
2025-01-08,242.0687893607263,168.98348053465082
2025-01-09,240.69269827503905,167.8246602703572
2025-01-10,240.1316314878896,167.1469843421195
2025-01-13,233.23537397032112,164.6820217480474
2025-01-14,230.9975008244141,165.32475501123537
2025-01-15,232.3660423226213,165.58975082034473
2025-01-16,230.8404563096874,166.29311824553287
2025-01-17,230.41400405518758,165.51841651210918
2025-01-20,229.70907120542762,166.5281592181762
2025-01-21,225.71104391590728,164.2447507980528
2025-01-22,227.3343204132721,165.17708463369854
2025-01-23,229.52271175441453,165.53375617487626
2025-01-24,225.58107174822555,164.72660569069467
2025-01-27,219.98735797149894,162.85016507204787
2025-01-28,218.48479256119708,163.7639547740488
2025-01-29,222.52944920508276,165.2323687225811
2025-01-30,222.32968078382433,165.84869993223265
2025-01-31,225.30667389812834,167.69554795894734
2025-02-01,229.1238293391454,167.50829539982902
2025-02-03,229.51053432677674,166.644439713593
2025-02-04,230.00393422445813,169.3422976780685
2025-02-05,229.4642905231621,169.03592239718967
2025-02-06,226.56925828574614,168.372861642651
2025-02-07,227.7208924078034,168.06326795841233
2025-02-10,223.62033032587604,166.7910233575278
2025-02-11,218.36962969134672,164.58109484787983
2025-02-12,218.06193783862201,164.3916966865216
2025-02-13,218.71610861859114,164.2929014561118
2025-02-14,216.7019714777484,163.5642187109893
2025-02-17,217.22499498035847,163.7800049934018
2025-02-18,218.5165667138776,163.67871584870016
2025-02-19,217.57463958937504,163.59025851999166
2025-02-20,217.45075309641376,163.44937326122647
2025-02-21,215.38356385563534,162.6129784971647
2025-02-24,212.4889517825658,160.8827592779187
2025-02-25,211.91266330631117,160.84139373863133
2025-02-27,211.22762753504102,160.82356016157243
2025-02-28,205.38119837500437,157.8250113689056
2025-03-03,206.46957802755608,157.78650198844403
2025-03-04,206.4047036921571,157.52505896226435
2025-03-05,209.91301229783718,159.34158990797894
2025-03-06,209.8200653223306,160.8210523147985
2025-03-07,206.97140912362448,160.87669864821504
2025-03-10,204.88933742648672,160.21900189927612
2025-03-11,205.9807402412465,160.48721611174534
2025-03-12,204.53540674204888,160.29175732068353
2025-03-13,203.98504610328627,159.76887126832415
2025-03-17,206.18847678363085,160.5646110496845
2025-03-18,206.24660118521612,162.88690502728554
2025-03-19,211.03265932093404,163.40977714716283
2025-03-20,213.55705914620577,165.42890031476279
2025-03-21,215.1301086099722,166.5684658888256
2025-03-24,215.59856664084248,168.76520033794645
2025-03-25,215.32864211928626,168.83868024842187
2025-03-26,212.60815455062271,167.54181695170683
2025-03-27,213.22067588452722,168.291537744766
2025-03-28,210.87124929706226,167.77365345347235
2025-04-01,207.19960910577905,165.25091285622585
2025-04-02,208.00178634861564,166.43970188946764
2025-04-03,207.93123786903953,165.85297720423026
2025-04-04,207.4318110794066,163.3873040535722
2025-04-07,199.61465505876052,158.0882377527911
2025-04-08,203.59486825478487,160.75792423850638
2025-04-09,204.18538509370302,159.78278981791928
2025-04-11,207.2375528502093,162.84588780005004
2025-04-15,211.4373714743203,166.41260321182733
2025-04-16,212.17282589419173,167.18763932482085
2025-04-17,215.88406171381362,170.1440980891323
2025-04-21,218.61031504430306,172.09794757820032
2025-04-22,220.62887368647768,172.3954060705497
2025-04-23,220.44303097577878,173.54887626172567
2025-04-24,218.70593253354684,172.96215157648828
2025-04-25,214.87485383547775,171.48303748172066
2025-04-28,217.583177517837,173.5456717908479
2025-04-29,217.43351690227973,173.59881027749054
2025-04-30,216.3801091478839,173.58632677354936
2025-05-02,214.60101467490418,173.67549465884377
2025-05-05,215.9953465502538,174.49192417608884
2025-05-06,215.74242865634153,173.91018731943515
2025-05-07,216.23900281845528,174.15843628508767
2025-05-08,213.30086428035918,173.15547869779232
2025-05-09,211.96298646459508,171.25940721189866
2025-05-12,219.7147098803227,177.79861767485835
2025-05-13,218.7740599728365,175.3279566956166
2025-05-14,219.05670335262462,175.95962756803522
2025-05-15,222.7856551001786,178.77875385651114
